無題のフォーム-4
タイムスタンプ,Please tell us your gender. あなたの性別を教えてください。,Please tell us your occupation. 現在の職業を教えてください。,Please tell us about your attitudes toward English. あなたの英語に対する意識を教えてください。 [Reading ],Please tell us about your attitudes toward English. あなたの英語に対する意識を教えてください。 [Writing],Please tell us about your attitudes toward English. あなたの英語に対する意識を教えてください。 [Listening],Please tell us about your attitudes toward English. あなたの英語に対する意識を教えてください。 [Speaking],Please tell us about your English learning before entering elementary school (multiple choice). 小学校入学前での英語への触れ方について教えてください（複数選択）。,Please tell us about your English learning after entering elementary school (multiple choice). 小学校入学後での英語への触れ方について教えてください（複数選択）。,Please tell us your highest CEFR (refer to the photo if necessary). あなたの最高CEFRを教えてください（任意で写真を参照）。,How  often did you use English(except  for English classes or tests)? 英語の授業やテスト以外で英語を使用した経験はどのくらいありますか？,How well does your family speak English? あなたの家族はどのくらい英語を話せますか？,How many hours in a week (in average) did you study English when you were a junior high school student? 中学生の時の英語の学習時間は、週平均何時間でしたか？,How many hours in a week (in average) did you study English when you were a high school student? 高校生の時の英語の学習時間は、週平均何時間でしたか？,Do you think learning English before elementary school is useful? 小学生以前の英語学習は役に立つと思いますか？,How much independent exposure have you had to the English language so far?  これまでどの程度自主性を持って触れてきましたか（学校の英語の予習・復習や塾、英会話など）。
2023/01/05 7:17:51 午前 GMT+9,male 男性,university student 大学生,4,1(苦手）,2,1(苦手）,英会話,英会話,B2,ほとんどない,全く話せない,1,1,どちらかというと役に立つと思う,全く自主性を持ってこなかった
2023/01/05 7:58:10 午前 GMT+9,female 女性,university student 大学生,3,4,3,4,絵本等,英会話;学校,B1,ほとんどない,全く話せない,5時間,10時間,全く役に立たないと思う,全く自主性を持ってこなかった
2023/01/05 8:36:43 午前 GMT+9,female 女性,university student 大学生,3,2,3,1(苦手）,全く触れなかった,英会話,B2,ほとんどない,簡単な会話なら可能,8,12,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/05 9:49:02 午前 GMT+9,female 女性,university student 大学生,3,2,4,3,英会話;絵本等;塾,学校;塾,B1,ほとんどない,簡単な会話なら可能,6時間,6時間,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/05 9:54:28 午前 GMT+9,female 女性,university student 大学生,3,2,2,2,触れていない,英会話;アニメ/映画等;本;学校;塾,わかりません,毎日,海外でも不自由なく生活できる程度,4時間,6時間,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/05 12:40:58 午後 GMT+9,female 女性,university student 大学生,3,2,4,3,ほとんど触れてないです,学校,B1,ほとんどない,簡単な会話なら可能,5,5,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/05 12:58:15 午後 GMT+9,female 女性,university student 大学生,3,2,1(苦手）,1(苦手）,I didn’t learn English before entering elementary school.,英検/英検Jr.;学校;塾,B2,ほとんどない,ほとんど話せないが単語のみなら可能,3,5,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/05 2:13:03 午後 GMT+9,female 女性,university student 大学生,4,2,3,1(苦手）,絵本等,英会話,B1,ほとんどない,ほとんど話せないが単語のみなら可能,2,3,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/05 5:58:31 午後 GMT+9,male 男性,university student 大学生,2,2,2,1(苦手）,アニメ/映画等,アニメ/映画等,2058,ほとんどない,日常会話が可能,15分,30分,とても役に立つと思う,全く自主性を持ってこなかった
2023/01/05 6:34:00 午後 GMT+9,female 女性,professional student 専門学生,1(苦手）,1(苦手）,1(苦手）,4,ない,英会話;学校,えーわん,月に3~4回,簡単な会話なら可能,15,7,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/05 6:37:46 午後 GMT+9,male 男性,others その他,2,3,2,3,アニメ/映画等,英会話;英検/英検Jr.;アニメ/映画等;塾,B2,ほとんどない,簡単な会話なら可能,7時間,10時間,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/05 6:39:08 午後 GMT+9,female 女性,university student 大学生,2,2,2,1(苦手）,アニメ/映画等,学校;塾,B2,ほとんどない,簡単な会話なら可能,15時間,30時間,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/05 6:41:29 午後 GMT+9,male 男性,university student 大学生,3,2,3,3,英会話,英会話;英検/英検Jr.;学校,B1,ほとんどない,全く話せない,10時間,30時間,どちらかというと役に立たないと思う,どちらかというと自主性を持ってきた
2023/01/05 6:56:20 午後 GMT+9,female 女性,university student 大学生,2,3,2,3,英会話;絵本等,英会話;英検/英検Jr.;アニメ/映画等;本;学校,B2,ほとんどない,簡単な会話なら可能,1時間,2.5時間,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/05 7:09:06 午後 GMT+9,female 女性,university student 大学生,2,3,3,3,英会話,学校;塾,B1,ほとんどない,ほとんど話せないが単語のみなら可能,10,10,どちらかというと役に立たないと思う,どちらかというと自主性を持ってきた
2023/01/05 7:10:25 午後 GMT+9,male 男性,university student 大学生,3,2,4,2,英会話;アニメ/映画等;絵本等,英会話;アニメ/映画等;本;学校,A2,月に3~4回,ほとんど話せないが単語のみなら可能,7,14,どちらかというと役に立たないと思う,どちらかというと自主性を持ってこなかった
2023/01/05 7:12:42 午後 GMT+9,male 男性,university student 大学生,2,1(苦手）,2,2,アニメ/映画等,学校,B1,ほとんどない,全く話せない,1〜2時間,1〜2時間,どちらかというと役に立つと思う,全く自主性を持ってこなかった
2023/01/05 7:19:46 午後 GMT+9,male 男性,university student 大学生,3,2,2,1(苦手）,なし,学校;塾,わかんない,月に3~4回,ほとんど話せないが単語のみなら可能,8,10,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/05 8:13:06 午後 GMT+9,male 男性,university student 大学生,3,3,4,4,全く,アニメ/映画等,B2,週に2~3回,全く話せない,2,2,とても役に立つと思う,とても自主性を持ってきた
2023/01/05 9:02:51 午後 GMT+9,female 女性,university student 大学生,2,2,4,4,アニメ/映画等,アニメ/映画等;学校,C1,週に2~3回,簡単な会話なら可能,8,90,とても役に立つと思う,とても自主性を持ってきた
2023/01/05 9:50:38 午後 GMT+9,female 女性,university student 大学生,3,2,1(苦手）,1(苦手）,ほとんど触れてない,学校,1980,ほとんどない,ほとんど話せないが単語のみなら可能,14時間,14時間,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/05 11:31:30 午後 GMT+9,male 男性,university student 大学生,3,2,2,1(苦手）,英会話;英検/英検Jr.,英会話;英検/英検Jr.;学校,C1,月に3~4回,全く話せない,7時間,5時間,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/06 12:22:38 午前 GMT+9,male 男性,university student 大学生,3,3,3,3,英会話;アニメ/映画等,英検/英検Jr.;アニメ/映画等;本;学校;塾,B2,ほとんどない,簡単な会話なら可能,4時間,6時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/06 1:16:03 午前 GMT+9,male 男性,university student 大学生,1(苦手）,3,3,4,アニメ/映画等;絵本等,アニメ/映画等;学校,B2,ほとんどない,簡単な会話なら可能,3,4,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/06 9:41:44 午前 GMT+9,female 女性,university student 大学生,2,3,3,3,絵本等,学校,B1〜B2あたり,月に3~4回,簡単な会話なら可能,4時間？,8時間？,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/06 4:15:07 午後 GMT+9,male 男性,university student 大学生,4,3,1(苦手）,2,英会話,英会話;英検/英検Jr.;学校;塾,C1,週に2~3回,全く話せない,3,6,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/06 4:17:13 午後 GMT+9,male 男性,others その他,4,4,4,4,アニメ/映画等,アニメ/映画等,B2,毎日,全く話せない,9,10,とても役に立つと思う,とても自主性を持ってきた
2023/01/06 4:22:15 午後 GMT+9,female 女性,university student 大学生,2,2,2,2,アニメ/映画等;絵本等,学校,B2,ほとんどない,ほとんど話せないが単語のみなら可能,3,10,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/06 4:24:23 午後 GMT+9,male 男性,university student 大学生,1(苦手）,1(苦手）,1(苦手）,1(苦手）,英会話,英会話,C2,ほとんどない,日常会話が可能,30分,20分,全く役に立たないと思う,全く自主性を持ってこなかった
2023/01/06 4:24:23 午後 GMT+9,female 女性,university student 大学生,4,3,2,2,アニメ/映画等,英検/英検Jr.;塾,B1,ほとんどない,ほとんど話せないが単語のみなら可能,5,20,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/06 4:39:51 午後 GMT+9,female 女性,university student 大学生,1(苦手）,1(苦手）,1(苦手）,1(苦手）,アニメ/映画等;絵本等,英会話;英検/英検Jr.;アニメ/映画等;本;学校,英検準2級,月に3~4回,全く話せない,3時間,5時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/06 5:04:23 午後 GMT+9,female 女性,university student 大学生,3,2,3,1(苦手）,アニメ/映画等,学校,B2,ほとんどない,簡単な会話なら可能,3時間,10時間,とても役に立つと思う,とても自主性を持ってきた
2023/01/06 5:14:41 午後 GMT+9,male 男性,others その他,4,4,3,2,英会話;アニメ/映画等;絵本等,英会話;英検/英検Jr.;アニメ/映画等;Eminem,B2,ほとんどない,ほとんど話せないが単語のみなら可能,2,3,とても役に立つと思う,とても自主性を持ってきた
2023/01/06 5:16:35 午後 GMT+9,female 女性,university student 大学生,4,3,3,2,英会話;絵本等,学校,C1,週に2~3回,簡単な会話なら可能,5,20,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/06 5:34:32 午後 GMT+9,male 男性,university student 大学生,3,2,1(苦手）,1(苦手）,英会話;アニメ/映画等;絵本等,英会話;アニメ/映画等;学校,不明,ほとんどない,全く話せない,7時間,9時間,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/06 6:03:58 午後 GMT+9,male 男性,university student 大学生,3,2,2,2,ふれていない,学校;塾,わからん,ほとんどない,簡単な会話なら可能,1時間,1.5時間,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/06 6:09:12 午後 GMT+9,female 女性,university student 大学生,3,4,4,2,英会話;アニメ/映画等;絵本等;アメリカへ行っていた,英会話;英検/英検Jr.;学校;塾,B2,ほとんどない,海外でも不自由なく生活できる程度,5,10,とても役に立つと思う,とても自主性を持ってきた
2023/01/06 6:13:01 午後 GMT+9,male 男性,university student 大学生,4,3,5(得意）,4,アニメ/映画等,英会話;塾,B1,月に3~4回,全く話せない,10,11,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/06 6:31:29 午後 GMT+9,male 男性,others その他,4,5(得意）,5(得意）,5(得意）,なし,英会話;英検/英検Jr.,B1,ほとんどない,簡単な会話なら可能,"4,5時間",あれを英語の学習と呼んでいいのか分からない。,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/06 8:28:06 午後 GMT+9,female 女性,university student 大学生,3,3,2,1(苦手）,アニメ/映画等,アニメ/映画等,Ｂ1,ほとんどない,簡単な会話なら可能,6,12,とても役に立つと思う,全く自主性を持ってこなかった
2023/01/06 10:44:10 午後 GMT+9,male 男性,university student 大学生,3,2,1(苦手）,1(苦手）,ない。,学校,B2,ほとんどない,ほとんど話せないが単語のみなら可能,5時間,21時間,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/07 10:53:45 午前 GMT+9,male 男性,university student 大学生,4,3,4,2,英会話,塾,B1,ほとんどない,ほとんど話せないが単語のみなら可能,4時間,10時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/09 5:26:17 午後 GMT+9,female 女性,university student 大学生,3,2,1(苦手）,2,アニメ/映画等,学校,A2,ほとんどない,ほとんど話せないが単語のみなら可能,2,14,どちらかというと役に立つと思う,全く自主性を持ってこなかった
2023/01/09 10:45:52 午後 GMT+9,male 男性,university student 大学生,4,1(苦手）,3,5(得意）,本当に何もありません,英会話;英検/英検Jr.;学校,C1（IELTS）,月に3~4回,簡単な会話なら可能,2,10,全く役に立たないと思う,とても自主性を持ってきた
2023/01/10 1:11:43 午後 GMT+9,male 男性,university student 大学生,3,3,2,2,ない,学校;塾,b2,月に3~4回,簡単な会話なら可能,5,3,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:13:21 午後 GMT+9,male 男性,university student 大学生,3,3,3,2,絵本等,本;学校,B1,ほとんどない,簡単な会話なら可能,10,20,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:13:28 午後 GMT+9,male 男性,university student 大学生,2,2,1(苦手）,2,英会話,英会話,B1,ほとんどない,日常会話が可能,2時間,1時間,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:13:51 午後 GMT+9,male 男性,university student 大学生,4,3,2,1(苦手）,アニメ/映画等,アニメ/映画等;本;学校,B1,週に2~3回,海外でも不自由なく生活できる程度,5時間,6時間,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 1:14:25 午後 GMT+9,male 男性,university student 大学生,4,3,4,3,海外での生活,英会話;英検/英検Jr.,B1,月に3~4回,日常会話が可能,2,4,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:14:34 午後 GMT+9,male 男性,university student 大学生,4,3,4,3,英会話;アニメ/映画等,英検/英検Jr.;学校;塾,B2,ほとんどない,日常会話が可能,8時間,10時間,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 1:14:43 午後 GMT+9,male 男性,university student 大学生,4,3,2,3,英会話,英会話;本;学校,B1,ほとんどない,ほとんど話せないが単語のみなら可能,14時間,21時間,どちらかというと役に立つと思う,とても自主性を持ってきた
2023/01/10 1:14:46 午後 GMT+9,male 男性,university student 大学生,5(得意）,1(苦手）,4,2,なし,学校,B1,ほとんどない,簡単な会話なら可能,4,8,どちらかというと役に立たないと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:14:48 午後 GMT+9,male 男性,university student 大学生,2,1(苦手）,1(苦手）,2,ない,学校,ない,ほとんどない,全く話せない,三時間,五時間,とても役に立つと思う,全く自主性を持ってこなかった
2023/01/10 1:14:55 午後 GMT+9,male 男性,university student 大学生,4,3,2,2,英会話,学校,B1,月に3~4回,簡単な会話なら可能,2,5,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:15:17 午後 GMT+9,male 男性,university student 大学生,4,3,4,2,英会話,英会話,B2,ほとんどない,ほとんど話せないが単語のみなら可能,3,10,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:15:36 午後 GMT+9,male 男性,university student 大学生,3,3,2,3,英会話,英検/英検Jr.;学校,B1,月に3~4回,簡単な会話なら可能,5,15,どちらかというと役に立たないと思う,どちらかというと自主性を持ってきた
2023/01/10 1:15:51 午後 GMT+9,male 男性,university student 大学生,4,2,2,3,英会話,英会話;学校,A2,月に3~4回,ほとんど話せないが単語のみなら可能,8,11,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 1:15:57 午後 GMT+9,male 男性,university student 大学生,4,3,3,2,なし,学校,B２,ほとんどない,簡単な会話なら可能,２，３時間,7時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:16:11 午後 GMT+9,female 女性,university student 大学生,3,3,2,2,触れていない,英会話,B1,ほとんどない,ほとんど話せないが単語のみなら可能,2,5,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 1:16:38 午後 GMT+9,male 男性,university student 大学生,3,2,4,2,ない,学校,A2,ほとんどない,全く話せない,4時間,4時間,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:16:47 午後 GMT+9,male 男性,university student 大学生,4,3,1(苦手）,1(苦手）,特に触れてない,学校,B1,ほとんどない,簡単な会話なら可能,3時間,10時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:16:58 午後 GMT+9,female 女性,university student 大学生,4,3,2,1(苦手）,英会話,英会話;アニメ/映画等,B1,ほとんどない,簡単な会話なら可能,約6時間(学校の授業を含めて),13時間(授業時間含む),とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:17:13 午後 GMT+9,female 女性,university student 大学生,4,4,3,2,特にない,学校,b1,ほとんどない,日常会話が可能,10時間程度,1５時間程度,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:18:48 午後 GMT+9,male 男性,university student 大学生,3,3,1(苦手）,1(苦手）,アニメ/映画等,アニメ/映画等;学校,B2,ほとんどない,全く話せない,3時間,10,とても役に立つと思う,全く自主性を持ってこなかった
2023/01/10 1:21:38 午後 GMT+9,male 男性,university student 大学生,3,3,2,2,ない,学校;塾,b2,月に3~4回,簡単な会話なら可能,5,3,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 1:22:07 午後 GMT+9,male 男性,university student 大学生,4,3,3,2,アニメ/映画等,学校,B1,週に2~3回,ほとんど話せないが単語のみなら可能,4,7,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 2:49:27 午後 GMT+9,male 男性,university student 大学生,4,5(得意）,3,2,アニメ/映画等;絵本等,英会話;英検/英検Jr.;アニメ/映画等;本;学校;塾,B2,月に3~4回,全く話せない,6時間,10時間,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 2:49:43 午後 GMT+9,male 男性,university student 大学生,1(苦手）,1(苦手）,3,2,英会話,英会話,B2,ほとんどない,海外でも不自由なく生活できる程度,1時間程度,1時間,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 2:51:20 午後 GMT+9,female 女性,university student 大学生,3,2,3,1(苦手）,英会話;絵本等,英会話;学校,不明,ほとんどない,海外でも不自由なく生活できる程度,覚えていないが6時間くらい？,覚えていない,どちらかというと役に立たないと思う,どちらかというと自主性を持ってきた
2023/01/10 2:51:36 午後 GMT+9,female 女性,university student 大学生,4,2,3,1(苦手）,なし,学校,C1,ほとんどない,ほとんど話せないが単語のみなら可能,3-4,6程度,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 2:51:37 午後 GMT+9,male 男性,university student 大学生,3,2,4,3,なし,学校;日常生活,C1,月に3~4回,海外でも不自由なく生活できる程度,30-60min,2-3hours,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 2:51:43 午後 GMT+9,male 男性,university student 大学生,5(得意）,4,2,3,特になし,アニメ/映画等,検定試験受験歴なし,ほとんどない,ほとんど話せないが単語のみなら可能,２時間,５時間,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 2:51:52 午後 GMT+9,female 女性,university student 大学生,5(得意）,3,3,1(苦手）,絵本等,学校,B2,月に3~4回,簡単な会話なら可能,5,5,どちらかというと役に立たないと思う,全く自主性を持ってこなかった
2023/01/10 2:52:20 午後 GMT+9,male 男性,university student 大学生,5(得意）,4,1(苦手）,4,英会話;アニメ/映画等;絵本等,英会話;アニメ/映画等;本;学校;塾,B2,月に3~4回,海外でも不自由なく生活できる程度,3,25,とても役に立つと思う,とても自主性を持ってきた
2023/01/10 2:52:21 午後 GMT+9,female 女性,university student 大学生,5(得意）,1(苦手）,3,1(苦手）,英会話;英検/英検Jr.,英会話;学校;塾,B１,ほとんどない,全く話せない,５時間,６時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 2:52:49 午後 GMT+9,male 男性,university student 大学生,5(得意）,4,3,2,なし,英会話;学校,B2,ほとんどない,ほとんど話せないが単語のみなら可能,4 hours,6 hours,どちらかというと役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 2:53:08 午後 GMT+9,male 男性,university student 大学生,5(得意）,5(得意）,5(得意）,5(得意）,none,英会話;英検/英検Jr.;アニメ/映画等;本;学校;lived in US,C1,毎日,日常会話が可能,8,8,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 2:53:32 午後 GMT+9,female 女性,university student 大学生,4,4,4,3,なし,英検/英検Jr.,B2,ほとんどない,簡単な会話なら可能,1,2,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 2:54:58 午後 GMT+9,female 女性,university student 大学生,4,2,2,1(苦手）,英会話;絵本等,英会話;本;学校;塾,B2,ほとんどない,全く話せない,5,20,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 2:55:10 午後 GMT+9,male 男性,university student 大学生,4,4,3,2,英会話,学校,B2,月に3~4回,簡単な会話なら可能,15時間,15時間,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 2:56:46 午後 GMT+9,male 男性,university student 大学生,4,3,3,2,触れたことがなかったと思います。,学校,B2,毎日,全く話せない,学校の授業を含めて15時間くらい、含めないなら10時間くらい,学校の授業を含めて25時間くらい、含めないなら20時間くらい,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 2:57:26 午後 GMT+9,male 男性,university student 大学生,5(得意）,5(得意）,5(得意）,5(得意）,アニメ/映画等;絵本等,アニメ/映画等;本;学校,C2,毎日,海外でも不自由なく生活できる程度,1,0,とても役に立つと思う,とても自主性を持ってきた
2023/01/10 3:11:00 午後 GMT+9,male 男性,high school student 高校生,3,2,2,1(苦手）,一切触れたことがなかった,学校,B2,ほとんどない,ほとんど話せないが単語のみなら可能,5時間,15時間,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 3:14:38 午後 GMT+9,male 男性,high school student 高校生,3,3,4,2,英会話;アニメ/映画等;絵本等,英会話;英検/英検Jr.;アニメ/映画等;学校,B2,ほとんどない,簡単な会話なら可能,4時間,10時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 3:14:52 午後 GMT+9,male 男性,university student 大学生,2,2,3,3,アニメ/映画等,英会話,🙂,ほとんどない,全く話せない,5,0,とても役に立つと思う,どちらかというと自主性を持ってきた
2023/01/10 3:21:35 午後 GMT+9,female 女性,university student 大学生,2,3,1(苦手）,1(苦手）,なし,学校,b1,ほとんどない,ほとんど話せないが単語のみなら可能,10,20,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 3:21:39 午後 GMT+9,female 女性,high school student 高校生,3,2,2,3,英会話,英会話;学校;塾,A2,ほとんどない,全く話せない,5,15,どちらかというと役に立たないと思う,どちらかというと自主性を持ってこなかった
2023/01/10 3:22:11 午後 GMT+9,male 男性,university student 大学生,3,3,3,3,ほぼ触れていない,ほぼ触れていない,B2,ほとんどない,ほとんど話せないが単語のみなら可能,3,3,どちらかというと役に立たないと思う,どちらかというと自主性を持ってきた
2023/01/10 3:25:36 午後 GMT+9,male 男性,university student 大学生,4,3,2,2,公文(リスニング、リーディング),英検/英検Jr.;学校;塾,B2,ほとんどない,簡単な会話なら可能,0.5時間,1時間,とても役に立つと思う,全く自主性を持ってこなかった
2023/01/10 3:34:38 午後 GMT+9,female 女性,university student 大学生,3,2,4,3,幼稚園で英語に触れていた,英検/英検Jr.,B1,ほとんどない,ほとんど話せないが単語のみなら可能,7時間,11時間,どちらかというと役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 3:48:39 午後 GMT+9,female 女性,high school student 高校生,2,2,4,2,なし,英会話;英検/英検Jr.;学校;塾,B1,ほとんどない,ほとんど話せないが単語のみなら可能,4時間,2時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 3:51:10 午後 GMT+9,male 男性,others その他,2,2,2,1(苦手）,アニメ/映画等,アニメ/映画等;学校,B1,ほとんどない,ほとんど話せないが単語のみなら可能,1時間,1時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 4:20:05 午後 GMT+9,male 男性,university student 大学生,2,2,5(得意）,3,英会話,英会話;学校,なし,ほとんどない,簡単な会話なら可能,7時間,10時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
2023/01/10 4:22:39 午後 GMT+9,male 男性,university student 大学生,4,4,2,2,絵本等,アニメ/映画等,B1,月に3~4回,簡単な会話なら可能,1時間,2時間,とても役に立つと思う,どちらかというと自主性を持ってこなかった
